02-31-2016  0.00
02-31-2015  0.00
12-3-111 10m2 36.68
12-3-112 100kg 37.85
12-3-113 100kg 39.21
12-3-114 100kg 21.65
12-3-115 100kg 0.00
12-3-116 10m2 150.83
12-3-11712 10m2 78.00
12-3-119 10m2 121.05
12-3-120 10m2 61.82
12-3-121 10m2 98.85
12-3-122 10m2 256.57
12-3-12312 10m2 125.55
12-3-125 10m2 199.12
12-3-126 10m2 180.47
12-3-127 10m2 90.68
12-3-128 100kg 0.00
12-3-129 100kg 0.00
12-3-130 100kg 0.00
12-3-131 100kg 0.00
12-3-132 100kg 0.00
12-3-133 100kg 0.00
12-3-134 100kg 84.98
12-3-135 100kg 48.41
12-3-136 100kg 72.13
12-3-13712 100kg 38.64
12-3-139 100kg 54.55
12-3-14012 10m2 157.60
12-3-14212 10m2 85.95
12-3-144 10m2 129.32
12-3-145 10m2 70.26
12-3-146 10m2 147.86
12-3-147 10m2 117.76
12-3-148 10m2 117.76
12-3-149 10m2 105.84
12-3-150 10m2 241.25
12-3-151 10m2 193.78
12-3-152 10m2 192.22
12-3-153 10m2 175.16
12-3-154 100kg 121.06
12-3-155 100kg 98.08
12-3-156 100kg 98.08
12-3-157 100kg 83.34
12-3-158 10m2 154.90
12-3-159 10m2 125.30
12-3-160 10m2 124.17
12-3-161 10m2 99.53
12-3-162 100kg 83.86
12-3-163 100kg 68.68
12-3-164 100kg 68.68
12-3-165 100kg 57.93
12-3-166 10m 89.04
12-3-167 10m 59.96
12-3-168 10m 31.73
12-3-169 10m 85.88
12-3-170 10m 43.21
12-3-171 10m2 42.04
12-3-172 10m2 20.68
12-3-173 10m2 118.70
12-3-174 10m2 66.38
12-3-175 10m2 34.07
12-3-176 10m2 100.77
12-3-177 10m2 51.79
12-3-178 10m2 50.62
12-3-179 10m2 27.15
12-3-180 100kg 75.40
12-3-181 100kg 44.10
12-3-182 100kg 21.83
12-3-183 100kg 55.77
12-3-184 100kg 30.43
12-3-185 100kg 0.00
12-3-186 100kg 0.00
12-3-187 100kg 0.00
12-3-188 100kg 0.00
12-3-189 100kg 0.00
12-3-190 100kg 43.67
12-3-191 100kg 25.03
12-3-192 100kg 10.97
12-3-193 100kg 0.00
12-3-19412 10m 95.78
12-3-19612 10m 79.24
12-3-198 10m 45.74
12-3-199 10m 108.52
12-3-200 10m 60.23
12-3-201 10m2 114.29
12-3-202 10m2 55.05
12-3-203 10m2 190.53
12-3-204 10m2 93.20
12-3-205 100kg 0.00
12-3-206 100kg 0.00
12-3-20712 100kg 0.00
12-3-209 100kg 0.00
12-3-210 100kg 0.00
12-3-211 10m2 78.01
12-3-212 10m2 63.98
12-3-213 10m2 48.40
12-3-214 10m2 134.96
12-3-215 10m2 122.81
12-3-216 10m2 88.60
12-3-217 100kg 0.00
12-3-218 100kg 0.00
12-3-219 100kg 0.00
12-3-220 10m2 134.73
12-3-221 10m2 69.24
12-3-222 10m2 90.70
12-3-223 10m2 45.64
12-3-224 10m2 228.36
12-3-225 10m2 112.71
12-3-226 10m2 162.70
12-3-227 10m2 77.35
12-3-228 100kg 111.41
12-3-229 100kg 56.38
12-3-230 100kg 68.81
12-3-231 100kg 36.61
12-3-232 10m2 141.64
12-3-233 10m2 77.20
12-3-234 10m2 88.65
12-3-235 10m2 0.00
12-3-236 100kg 77.92
12-3-237 100kg 41.53
12-3-238 100kg 47.76
12-3-239 100kg 24.67
12-3-240 10m2 189.47
12-3-241 10m2 84.71
12-3-242 10m2 81.65
12-3-243 10m2 80.46
12-3-244 10m2 289.72
12-3-24 10m2 137.86
12-3-246 10m2 135.27
12-3-247 10m2 133.81
12-3-248 100kg 0.00
12-3-249 100kg 0.00
12-3-250 100kg 0.00
