02-31-2016  0.00
8-1-474 10m 566.13
8-1-476 10m 658.62
8-1-477 10m 755.97
8-1-478 10m 0.00
8-1-479 10m 0.00
8-1-480 10m 0.00
8-1-481 10m 0.00
8-1-482 10m 0.00
8-1-483 10m 0.00
8-1-484 10m 503.41
8-1-485 10m 586.54
8-1-486 10m 679.56
8-1-487 10m 791.25
8-1-488 10m 911.19
8-1-489 10m 1113.35
8-1-490 10m 1304.19
8-1-491 10m 145.22
8-1-492 10m 149.95
8-1-493 10m 157.98
8-1-494 10m 174.93
8-1-495 10m 200.03
8-1-496 10m 275.28
8-1-497 10m 371.15
8-1-498 10m 413.93
8-1-500 10m 601.33
8-1-501 10m 629.75
8-1-502 10m 715.84
8-1-503 10m 1350.58
8-1-504 10m 2001.54
8-1-505 10m 2360.91
8-1-506 10m 2744.54
8-1-507 10m 3063.04
8-1-508 10m 0.00
8-1-509 10m 303.79
8-1-510 10m 419.11
8-1-511 10m 473.74
8-1-512 10m 653.26
8-1-513 10m 701.94
8-1-514 10m 768.82
8-1-509 10m 0.00
8-1-510 10m 0.00
8-1-511 10m 0.00
8-1-512 10m 0.00
8-1-513 10m 0.00
8-1-514 10m 0.00
8-1-515 10m 1119.32
8-1-516 10m 1405.26
8-1-517 10m 1682.02
8-1-518 10m 2464.72
8-1-519 10m 3176.74
8-1-520 10m 0.00
8-1-521 10m 0.00
8-1-515 10m 0.00
8-1-516 10m 0.00
8-1-517 10m 0.00
8-1-518 10m 0.00
8-1-519 10m 0.00
8-1-520 10m 0.00
8-1-521 10m 0.00
8-1-522 10m 162.20
8-1-523 10m 169.25
8-1-524 10m 174.66
8-1-525 10m 195.69
8-1-526 10m 224.57
8-1-527 10m 315.51
8-1-528 10m 440.78
8-1-529 10m 494.81
8-1-530 10m 696.94
8-1-531 10m 738.90
8-1-532 10m 836.91
8-1-533 10m 1237.03
8-1-534 10m 164.47
8-1-535 10m 188.86
8-1-536 10m 206.14
8-1-537 10m 230.15
8-1-538 10m 253.19
8-1-539 10m 304.29
8-1-540 10m 406.83
8-1-541 10m 440.05
8-1-542 10m 639.11
8-1-543 10m 675.32
8-1-544 10m 705.55
8-1-545 10m 1008.02
8-1-546 10m 1268.08
8-1-547 10m 1474.96
8-1-548 10m 2138.12
8-1-549 10m 2969.74
8-1-550 10m 3416.89
8-1-551 10m 0.00
8-1-552 10m 0.00
8-1-553 10m 310.71
8-1-554 10m 415.42
8-1-555 10m 450.57
8-1-556 10m 655.19
8-1-557 10m 695.62
8-1-558 10m 730.29
8-1-559 10m 1045.16
8-1-553  0.00
8-1-554  0.00
8-1-555  0.00
8-1-556  0.00
8-1-557  0.00
8-1-558  0.00
8-1-559  0.00
8-1-560 10m 1335.18
8-1-561 10m 1668.64
8-1-562 10m 2376.00
8-1-563 10m 2811.16
8-1-564 10m 3245.63
8-1-565 10m 0.00
8-1-566 10m 0.00
8-1-568 10m 181.15
8-1-569 10m 207.96
8-1-570 10m 226.86
8-1-571 10m 252.40
8-1-572 10m 278.62
8-1-573 10m 464.83
8-1-574 10m 504.68
8-1-575 10m 730.49
8-1-576 10m 792.34
8-1-577 10m 841.34
8-1-578 10m 890.91
8-1-579 10m 118.65
8-1-580 10m 165.03
8-1-581 10m 210.19
8-1-582 10m 250.04
8-1-583 10m 277.03
8-1-584 10m 299.70
8-1-585 10m 405.45
8-1-586 10m 527.10
8-1-587 10m 587.96
8-1-588 10m 673.97
8-1-589 10m 849.64
8-1-590 10m 1001.57
8-1-591 10m 1239.32
8-1-592 10m 1460.26
8-1-593 根 82.92
8-1-594 根 88.47
8-1-595 根 95.07
8-1-596 根 101.37
8-1-597 根 112.52
8-1-598 根 129.93
8-1-599 根 92.05
8-1-600 根 96.30
8-1-601 根 102.40
8-1-602 根 119.78
8-1-604 根 147.94
8-1-605 根 165.94
8-1-606 根 173.27
8-1-607 根 215.30
8-1-608 根 245.55
8-1-609 根 276.32
8-1-610 根 374.65
8-1-611 根 407.77
8-1-612 根 508.47
8-1-613 10m 405.10
8-1-614 10m 445.24
8-1-615 10m 496.10
8-1-617 10m 626.66
8-1-618 10m 671.47
8-1-619 10m 725.56
8-1-620 10m 956.15
8-1-621 10m 1261.46
8-1-622 10m 1517.20
8-1-623 10m 2490.07
8-1-624 10m 3064.88
8-1-625 10m 3359.60
8-1-626 10m 0.00
8-1-627 10m 4011.30
8-1-628 10m 4623.30
8-1-629 10m 5509.03
8-1-631 10m 6196.51
8-1-632 10m 420.28
8-1-633 10m 466.49
8-1-634 10m 515.70
8-1-635 10m 651.23
8-1-636 10m 701.20
8-1-637 10m 757.17
8-1-638 10m 831.63
8-1-639 10m 994.18
8-1-640 10m 1322.13
8-1-641 10m 2034.21
8-1-642 10m 2614.53
